dimension,product_type,dispense_method,fill_count,order_qty_sum
product_type,GLP,manual,9105,75970
product_type,Gummy,manual,9940,1398420
product_type,Meal Kit,other,0,3159
product_type,Multis Orders,automated,58129,14114597
product_type,Multis Orders,manual,36000,6125620
product_type,Non-Rx,other,0,78717
product_type,Rx,automated,261627,16786462
product_type,Rx,manual,18830,1541224
product_type,Rx,other,0,13555
product_type,Tablet,automated,69509,8049840
product_type,Tablet,manual,173924,18196947
product_type,Topical,manual,45005,7369740
