task,wh_name,logic_adjusted_new_step_duration_minutes
Verify Batch,BEYONDRX_OH,6.66
Verify Batch,BEYONDRX_OH,6.35
Verify Batch,OHIO,17.51
Verify Batch,BEYONDRX_OH,5.86
Verify Batch,BEYONDRX_OH,13.25
Verify Fill,BEYONDRX_AZ,8.71
Verify Batch,OHIO,5.65
Verify Batch,BEYONDRX_AZ,8.19
Verify Fill,OHIO,3.79
Verify Batch,OHIO,4.05
Verify Batch,BEYONDRX_OH,8.81
Verify Order,BEYONDRX_AZ,6.93
Verify Fill,OHIO,12.94
Verify Fill,OHIO,7.37
Verify Batch,BEYONDRX_AZ,13.43
Verify Order,BEYONDRX_AZ,14.23
Verify Order,OHIO,14.16
Verify Batch,OHIO,8.26
Verify Order,BEYONDRX_AZ,8.34
Verify Batch,BEYONDRX_AZ,8.8
Verify Order,BEYONDRX_OH,13.64
Verify Fill,OHIO,3.18
Verify Batch,BEYONDRX_OH,7.07
Verify Fill,BEYONDRX_AZ,8.99
Verify Order,OHIO,19.62
Verify Batch,BEYONDRX_OH,8.75
Verify Fill,BEYONDRX_AZ,1.89
Verify Order,OHIO,15.28
Verify Batch,OHIO,9.89
Verify Order,BEYONDRX_AZ,11.85
Verify Fill,BEYONDRX_AZ,8.1
Verify Order,OHIO,20.02
Verify Fill,OHIO,11.71
Verify Fill,BEYONDRX_OH,5.09
Verify Order,BEYONDRX_OH,17.32
Verify Fill,BEYONDRX_AZ,8.62
Verify Batch,BEYONDRX_OH,4.37
Verify Batch,BEYONDRX_AZ,8.31
Verify Fill,BEYONDRX_AZ,7.74
Verify Batch,OHIO,22.37
Verify Batch,BEYONDRX_OH,8.51
Verify Batch,OHIO,5.38
Verify Order,BEYONDRX_AZ,3.71
Verify Order,BEYONDRX_OH,16.3
Verify Batch,BEYONDRX_AZ,11.1
Verify Order,OHIO,14.82
Verify Order,BEYONDRX_AZ,7.37
Verify Batch,OHIO,18.2
Verify Fill,BEYONDRX_AZ,17.5
Verify Batch,BEYONDRX_AZ,8.85
Verify Batch,BEYONDRX_OH,4.83
Verify Fill,BEYONDRX_OH,4.82
Verify Order,BEYONDRX_OH,15.82
Verify Order,BEYONDRX_AZ,7.87
Verify Batch,BEYONDRX_AZ,4.69
Verify Order,OHIO,7.72
Verify Batch,OHIO,14.43
Verify Order,BEYONDRX_OH,7.94
Verify Fill,OHIO,5.76
Verify Order,BEYONDRX_OH,5.28
Verify Fill,BEYONDRX_AZ,13.73
Verify Batch,BEYONDRX_AZ,10.87
Verify Order,OHIO,5.81
Verify Order,BEYONDRX_OH,8.09
Verify Batch,BEYONDRX_AZ,12.82
Verify Batch,BEYONDRX_AZ,5.08
Verify Order,BEYONDRX_AZ,4.9
Verify Fill,OHIO,12.51
Verify Fill,BEYONDRX_OH,12.21
Verify Fill,OHIO,9.31
Verify Fill,BEYONDRX_OH,5.39
Verify Order,BEYONDRX_AZ,9.68
Verify Fill,BEYONDRX_OH,3.99
Verify Batch,OHIO,15.04
Verify Fill,OHIO,4.58
Verify Batch,OHIO,8.0
Verify Batch,OHIO,12.72
Verify Batch,BEYONDRX_OH,5.38
Verify Batch,BEYONDRX_AZ,11.15
Verify Batch,BEYONDRX_OH,15.11
Verify Fill,BEYONDRX_AZ,7.67
Verify Batch,OHIO,10.07
Verify Fill,OHIO,5.58
Verify Batch,BEYONDRX_OH,5.98
Verify Batch,BEYONDRX_AZ,4.87
Verify Order,BEYONDRX_OH,5.04
Verify Batch,BEYONDRX_OH,7.17
Verify Fill,OHIO,10.56
Verify Batch,BEYONDRX_OH,2.9
Verify Order,BEYONDRX_OH,6.45
Verify Batch,BEYONDRX_AZ,21.19
Verify Fill,BEYONDRX_OH,3.4
Verify Batch,OHIO,11.51
Verify Fill,OHIO,9.91
Verify Fill,BEYONDRX_OH,3.36
Verify Order,BEYONDRX_OH,5.0
Verify Fill,BEYONDRX_OH,7.53
Verify Order,BEYONDRX_AZ,5.64
Verify Order,BEYONDRX_AZ,3.7
Verify Fill,OHIO,14.99
Verify Fill,OHIO,6.4
Verify Order,BEYONDRX_AZ,9.98
Verify Fill,BEYONDRX_AZ,6.47
Verify Batch,BEYONDRX_AZ,6.18
Verify Fill,BEYONDRX_OH,7.81
Verify Order,OHIO,10.26
Verify Order,BEYONDRX_OH,13.54
Verify Fill,BEYONDRX_AZ,5.45
Verify Fill,OHIO,3.61
Verify Fill,BEYONDRX_OH,5.6
Verify Order,BEYONDRX_AZ,10.42
Verify Order,BEYONDRX_AZ,22.92
Verify Fill,OHIO,8.01
Verify Fill,OHIO,12.6
Verify Fill,BEYONDRX_AZ,6.74
Verify Batch,OHIO,18.23
Verify Batch,BEYONDRX_AZ,8.8
Verify Batch,BEYONDRX_OH,7.83
Verify Fill,BEYONDRX_OH,2.53
Verify Order,BEYONDRX_AZ,7.61
Verify Order,BEYONDRX_OH,11.36
Verify Fill,BEYONDRX_OH,7.13
Verify Batch,BEYONDRX_OH,7.58
Verify Order,OHIO,5.01
Verify Order,OHIO,4.56
Verify Fill,OHIO,9.01
Verify Order,BEYONDRX_AZ,4.02
Verify Batch,BEYONDRX_AZ,4.71
Verify Batch,BEYONDRX_AZ,9.92
Verify Fill,BEYONDRX_OH,7.84
Verify Batch,OHIO,7.56
Verify Fill,BEYONDRX_AZ,8.94
Verify Order,BEYONDRX_AZ,12.19
Verify Batch,BEYONDRX_OH,11.61
Verify Fill,BEYONDRX_AZ,2.96
Verify Batch,BEYONDRX_OH,4.89
Verify Fill,OHIO,4.69
Verify Order,OHIO,5.25
Verify Order,BEYONDRX_AZ,11.76
Verify Batch,BEYONDRX_AZ,5.0
Verify Order,BEYONDRX_OH,4.98
Verify Fill,BEYONDRX_OH,5.21
Verify Fill,OHIO,11.68
Verify Batch,OHIO,5.59
Verify Batch,BEYONDRX_AZ,10.18
Verify Order,OHIO,6.76
Verify Batch,OHIO,5.45
Verify Batch,BEYONDRX_AZ,5.05
Verify Order,OHIO,8.78
Verify Fill,BEYONDRX_AZ,3.78
Verify Fill,OHIO,9.36
Verify Fill,BEYONDRX_OH,6.32
Verify Order,BEYONDRX_AZ,8.06
Verify Fill,BEYONDRX_AZ,6.27
Verify Batch,BEYONDRX_OH,8.16
Verify Order,BEYONDRX_OH,9.33
Verify Batch,BEYONDRX_AZ,8.89
Verify Order,OHIO,11.09
Verify Fill,BEYONDRX_AZ,17.47
Verify Batch,BEYONDRX_AZ,7.98
Verify Fill,BEYONDRX_AZ,11.48
Verify Batch,OHIO,10.75
Verify Order,OHIO,10.79
Verify Fill,BEYONDRX_AZ,11.18
Verify Order,BEYONDRX_AZ,5.29
Verify Fill,BEYONDRX_AZ,13.51
Verify Order,OHIO,5.12
Verify Batch,BEYONDRX_AZ,9.05
Verify Order,OHIO,16.51
Verify Fill,BEYONDRX_AZ,6.51
Verify Order,OHIO,4.25
Verify Fill,BEYONDRX_AZ,8.73
Verify Fill,BEYONDRX_AZ,4.46
Verify Order,BEYONDRX_AZ,8.29
Verify Fill,BEYONDRX_OH,16.25
Verify Order,OHIO,7.08
Verify Batch,BEYONDRX_AZ,7.75
Verify Order,BEYONDRX_OH,12.17
Verify Fill,OHIO,4.64
Verify Fill,BEYONDRX_AZ,8.19
Verify Batch,BEYONDRX_OH,12.34
Verify Batch,BEYONDRX_OH,5.51
Verify Batch,BEYONDRX_OH,11.87
Verify Fill,BEYONDRX_AZ,10.53
Verify Order,BEYONDRX_AZ,3.38
Verify Order,BEYONDRX_OH,5.28
Verify Order,BEYONDRX_AZ,9.1
Verify Order,BEYONDRX_OH,3.62
Verify Batch,BEYONDRX_AZ,6.12
Verify Order,OHIO,6.69
Verify Order,BEYONDRX_AZ,8.0
Verify Batch,BEYONDRX_AZ,10.65
Verify Batch,BEYONDRX_OH,11.43
Verify Order,OHIO,7.7
Verify Order,OHIO,8.74
Verify Fill,OHIO,8.84
Verify Batch,BEYONDRX_AZ,3.87
Verify Batch,OHIO,12.35
Verify Batch,BEYONDRX_AZ,9.4
Verify Order,BEYONDRX_OH,13.0
Verify Fill,BEYONDRX_AZ,9.36
Verify Order,OHIO,9.13
Verify Batch,BEYONDRX_OH,8.04
Verify Order,OHIO,6.96
Verify Batch,BEYONDRX_OH,8.7
Verify Batch,BEYONDRX_OH,2.71
Verify Order,OHIO,8.97
Verify Fill,OHIO,7.09
Verify Batch,BEYONDRX_OH,11.35
Verify Order,OHIO,14.87
Verify Order,OHIO,4.03
Verify Batch,BEYONDRX_OH,12.22
Verify Order,BEYONDRX_AZ,9.0
Verify Order,BEYONDRX_OH,10.88
Verify Batch,BEYONDRX_OH,7.17
Verify Order,OHIO,6.2
Verify Fill,BEYONDRX_AZ,6.8
Verify Batch,OHIO,6.27
Verify Fill,BEYONDRX_OH,4.59
Verify Order,BEYONDRX_AZ,23.16
Verify Order,OHIO,9.46
Verify Order,BEYONDRX_OH,15.14
Verify Order,BEYONDRX_AZ,11.94
Verify Order,BEYONDRX_OH,5.92
Verify Fill,OHIO,5.58
Verify Fill,BEYONDRX_AZ,9.48
Verify Order,BEYONDRX_OH,1.26
Verify Batch,BEYONDRX_OH,3.45
Verify Order,BEYONDRX_AZ,9.08
Verify Batch,BEYONDRX_AZ,5.59
Verify Order,OHIO,3.74
Verify Batch,BEYONDRX_OH,8.88
Verify Fill,BEYONDRX_OH,7.4
Verify Order,BEYONDRX_OH,11.13
Verify Order,BEYONDRX_OH,8.02
Verify Batch,BEYONDRX_OH,4.52
Verify Order,BEYONDRX_OH,8.12
Verify Order,BEYONDRX_AZ,7.42
Verify Fill,BEYONDRX_AZ,6.58
Verify Fill,BEYONDRX_OH,4.27
Verify Fill,OHIO,11.24
Verify Batch,BEYONDRX_AZ,6.42
Verify Batch,BEYONDRX_AZ,6.05
Verify Fill,OHIO,6.47
Verify Order,BEYONDRX_AZ,8.01
Verify Fill,OHIO,3.45
Verify Batch,BEYONDRX_OH,2.91
Verify Batch,OHIO,4.21
Verify Batch,OHIO,7.71
Verify Fill,BEYONDRX_AZ,4.4
Verify Fill,BEYONDRX_AZ,1.23
Verify Order,BEYONDRX_OH,6.82
Verify Order,BEYONDRX_AZ,2.4
Verify Batch,BEYONDRX_AZ,15.55
Verify Fill,BEYONDRX_AZ,9.68
Verify Order,BEYONDRX_AZ,11.98
Verify Batch,BEYONDRX_AZ,7.79
Verify Order,BEYONDRX_AZ,6.07
Verify Order,BEYONDRX_AZ,6.03
Verify Batch,OHIO,6.4
Verify Order,BEYONDRX_OH,4.16
Verify Batch,BEYONDRX_AZ,5.99
Verify Batch,OHIO,5.87
Verify Batch,OHIO,8.41
Verify Fill,BEYONDRX_AZ,6.1
Verify Batch,BEYONDRX_AZ,7.64
Verify Order,OHIO,13.54
Verify Order,BEYONDRX_OH,17.49
Verify Fill,BEYONDRX_OH,6.33
Verify Fill,OHIO,9.66
Verify Fill,BEYONDRX_OH,6.3
Verify Order,BEYONDRX_AZ,3.82
Verify Fill,BEYONDRX_OH,8.74
Verify Order,OHIO,7.41
Verify Batch,BEYONDRX_OH,3.16
Verify Order,BEYONDRX_AZ,6.53
Verify Batch,BEYONDRX_AZ,4.91
Verify Batch,BEYONDRX_AZ,5.6
Verify Order,BEYONDRX_OH,10.25
Verify Order,BEYONDRX_AZ,10.11
Verify Order,OHIO,10.23
Verify Order,BEYONDRX_AZ,9.09
Verify Batch,OHIO,8.62
Verify Fill,OHIO,8.17
Verify Fill,BEYONDRX_AZ,5.35
Verify Fill,BEYONDRX_AZ,13.47
Verify Batch,BEYONDRX_AZ,4.85
Verify Order,OHIO,16.63
Verify Fill,BEYONDRX_AZ,12.11
Verify Order,OHIO,13.02
Verify Fill,BEYONDRX_AZ,4.66
Verify Batch,BEYONDRX_OH,8.25
Verify Order,BEYONDRX_OH,9.61
Verify Fill,OHIO,12.51
Verify Order,BEYONDRX_AZ,7.59
Verify Batch,OHIO,6.47
Verify Batch,OHIO,15.2
Verify Batch,OHIO,4.79
Verify Order,OHIO,7.11
Verify Order,OHIO,13.49
Verify Order,OHIO,14.29
Verify Fill,OHIO,5.3
Verify Fill,BEYONDRX_AZ,6.79
Verify Order,OHIO,8.76
Verify Fill,BEYONDRX_OH,10.13
Verify Batch,OHIO,3.91
Verify Batch,BEYONDRX_OH,17.17
Verify Order,BEYONDRX_AZ,9.64
Verify Fill,BEYONDRX_OH,7.72
Verify Batch,BEYONDRX_OH,7.77
Verify Order,BEYONDRX_AZ,3.9
Verify Order,OHIO,7.29
Verify Batch,BEYONDRX_OH,5.31
Verify Fill,BEYONDRX_AZ,5.82
Verify Fill,BEYONDRX_AZ,8.38
Verify Batch,BEYONDRX_AZ,7.93
Verify Order,OHIO,4.97
Verify Order,OHIO,3.42
Verify Batch,BEYONDRX_OH,15.51
Verify Fill,BEYONDRX_AZ,18.17
Verify Order,BEYONDRX_AZ,8.92
Verify Fill,BEYONDRX_OH,6.66
Verify Batch,OHIO,10.32
Verify Batch,BEYONDRX_OH,7.67
Verify Batch,OHIO,1.44
Verify Batch,OHIO,8.44
Verify Fill,BEYONDRX_OH,6.88
Verify Fill,BEYONDRX_AZ,6.02
Verify Batch,OHIO,8.74
Verify Batch,BEYONDRX_OH,9.78
Verify Batch,BEYONDRX_OH,7.14
Verify Batch,BEYONDRX_AZ,15.17
Verify Order,OHIO,5.01
Verify Fill,OHIO,4.11
Verify Batch,BEYONDRX_OH,19.05
Verify Batch,BEYONDRX_AZ,12.5
Verify Batch,OHIO,9.25
Verify Batch,OHIO,4.75
Verify Order,OHIO,9.27
Verify Order,BEYONDRX_AZ,9.43
Verify Order,OHIO,6.08
Verify Fill,OHIO,7.38
Verify Order,BEYONDRX_OH,10.16
Verify Order,BEYONDRX_OH,10.22
Verify Order,OHIO,14.02
Verify Order,BEYONDRX_OH,8.97
Verify Order,BEYONDRX_OH,7.96
Verify Fill,OHIO,8.52
Verify Order,BEYONDRX_OH,11.67
Verify Order,BEYONDRX_AZ,3.84
Verify Order,OHIO,5.3
Verify Order,BEYONDRX_AZ,7.97
Verify Batch,BEYONDRX_OH,8.87
Verify Fill,BEYONDRX_OH,2.45
Verify Order,BEYONDRX_AZ,5.55
Verify Batch,OHIO,3.93
Verify Fill,BEYONDRX_OH,3.93
Verify Batch,BEYONDRX_AZ,14.56
Verify Fill,OHIO,2.6
Verify Fill,BEYONDRX_AZ,19.24
Verify Batch,BEYONDRX_AZ,2.29
Verify Fill,BEYONDRX_AZ,3.44
Verify Order,BEYONDRX_OH,5.1
Verify Order,BEYONDRX_OH,4.36
Verify Order,BEYONDRX_OH,6.68
Verify Fill,OHIO,3.9
Verify Fill,OHIO,1.99
Verify Batch,BEYONDRX_AZ,9.79
Verify Fill,OHIO,4.35
Verify Fill,BEYONDRX_AZ,4.77
Verify Batch,OHIO,10.76
Verify Batch,BEYONDRX_AZ,5.63
Verify Fill,BEYONDRX_AZ,2.75
Verify Batch,OHIO,6.57
Verify Order,OHIO,10.44
Verify Fill,OHIO,5.86
Verify Batch,BEYONDRX_AZ,11.62
Verify Batch,BEYONDRX_AZ,5.5
Verify Order,BEYONDRX_AZ,4.69
Verify Batch,BEYONDRX_AZ,7.81
Verify Batch,BEYONDRX_AZ,7.0
Verify Batch,OHIO,9.7
Verify Fill,BEYONDRX_OH,9.34
Verify Batch,BEYONDRX_AZ,8.18
Verify Order,OHIO,9.19
Verify Order,BEYONDRX_AZ,13.83
Verify Fill,OHIO,6.46
Verify Order,BEYONDRX_OH,9.75
Verify Order,BEYONDRX_OH,13.07
Verify Batch,BEYONDRX_AZ,9.11
